DATE,ISM_NM
2021-01-01,57.7
2021-02-01,58.7
2021-03-01,55.3
2021-04-01,63.7
2021-05-01,62.7
2021-06-01,64.0
2021-07-01,60.1
2021-08-01,64.1
2021-09-01,61.7
2021-10-01,61.9
2021-11-01,66.7
2021-12-01,69.1
2022-01-01,62.3
2022-02-01,59.9
2022-03-01,56.5
2022-04-01,58.3
2022-05-01,57.1
2022-06-01,55.9
2022-07-01,55.3
2022-08-01,56.7
